run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
2662,40,3,232,90,6,352.393062,-0.123885,21.582,19.489,18.521,18.073,17.811,0.14,0.013,8.794E-3,8.671E-3,0.02
2662,40,3,232,8,6,352.390305,-0.111633,20.029,18.222,17.399,16.998,16.753,0.044,6.667E-3,6.003E-3,6.336E-3,0.011
2662,40,3,233,54,6,352.582065,-0.172708,18.498,17.193,16.726,16.511,16.348,0.019,4.765E-3,5.644E-3,5.943E-3,8.544E-3
2662,40,3,233,193,6,352.612928,-0.109634,20.085,17.859,16.883,16.512,16.277,0.051,5.865E-3,5.621E-3,5.801E-3,8.504E-3
2662,40,3,232,7,6,352.387761,-0.111234,15.176,12.794,12.282,12.169,13.274,8.581E-3,1.014E-3,1.128E-3,7.345E-4,9.137E-3
2662,40,3,233,18,6,352.567736,-0.187742,16.35,14.929,15.067,14.457,14.074,6.356E-3,3.67E-3,0.013,2.05E-3,4.985E-3
3325,41,4,58,95,6,352.518293,0.018239,19.65,17.093,15.635,15.027,14.691,0.048,4.517E-3,3.603E-3,3.437E-3,4.794E-3
2662,40,3,232,83,3,352.386153,-0.082602,20.914,18.996,18.107,17.712,17.436,0.118,0.012,8.268E-3,8.242E-3,0.023
2662,40,3,233,200,6,352.617071,-0.084066,21.825,19.539,18.179,17.493,17.068,0.204,0.013,7.739E-3,7.098E-3,0.012
3325,41,3,58,7,6,352.493058,-0.213164,16.7,14.903,14.226,13.99,13.87,7.789E-3,3.192E-3,3.26E-3,3.131E-3,4.018E-3
2662,40,3,233,53,6,352.587527,-0.177893,15.574,10.098,9.111,8.721,12.061,0.015,2.962E-4,3.207E-4,3.907E-4,0.012
3325,41,3,58,8,6,352.492494,-0.21577,20.108,17.438,16.26,15.827,15.585,0.065,5.213E-3,4.039E-3,3.871E-3,6.356E-3
2662,40,3,233,188,6,352.608944,-0.149565,19.8,18.961,18.63,18.523,18.418,0.042,9.381E-3,9.381E-3,0.011,0.032
2662,40,3,233,90,6,352.603714,-0.159757,16.163,15.011,15.031,15.102,15.162,5.794E-3,3.513E-3,4.968E-3,5.143E-3,5.644E-3
2662,40,3,233,185,6,352.598057,-0.020314,22.448,19.606,18.34,17.863,17.505,0.342,0.013,8.147E-3,7.951E-3,0.016
2662,40,3,232,98,6,352.39762,-0.0275,20.281,18.186,17.232,16.857,16.581,0.052,6.637E-3,5.836E-3,6.315E-3,9.808E-3
2662,40,3,231,243,3,352.377496,-0.079934,21.225,19.124,17.844,17.386,17.012,0.199,0.015,8.79E-3,8.058E-3,0.021
2662,40,3,233,213,6,352.622556,-0.068885,22.265,19.122,17.687,16.688,16.137,0.298,0.01,6.608E-3,5.942E-3,7.792E-3
3325,41,3,57,143,6,352.476016,-0.217347,21.736,19.404,17.943,16.993,16.509,0.245,0.014,7.138E-3,5.565E-3,9.916E-3
2662,40,3,232,88,6,352.390045,-0.035413,21.445,19.664,18.886,18.579,18.385,0.123,0.014,0.011,0.011,0.031
2662,40,3,232,43,6,352.444019,-0.207987,17.327,16.082,15.58,15.38,15.265,9.726E-3,3.887E-3,4.785E-3,5.39E-3,5.867E-3
3325,41,4,58,107,6,352.542826,0.023902,19.842,18.648,18.136,17.968,17.908,0.056,8.597E-3,8.013E-3,9.012E-3,0.028
3325,41,4,57,117,6,352.450441,0.020755,22.206,19.805,18.323,17.524,17.092,0.393,0.017,8.822E-3,7.184E-3,0.016
2662,40,3,232,110,6,352.426473,-0.197648,21.69,18.789,17.326,16.042,15.462,0.156,8.739E-3,6.059E-3,5.395E-3,6.23E-3
2662,40,3,232,27,6,352.403,-0.175942,18.472,17.354,16.946,16.786,16.718,0.017,4.971E-3,5.54E-3,6.193E-3,0.011
3325,41,4,58,120,6,352.574042,9.052961E-3,21.536,19.908,18.881,18.45,18.24,0.224,0.019,0.014,0.014,0.037
2662,40,3,231,122,6,352.3739,-0.083058,18.791,17.419,16.814,16.59,16.435,0.021,5.096E-3,5.371E-3,5.964E-3,9.176E-3
2662,40,3,233,81,6,352.589857,-3.907513E-3,19.148,16.451,15.265,14.841,14.546,0.027,4.237E-3,4.899E-3,5.255E-3,5.134E-3
2662,40,3,233,222,3,352.62822,-0.086885,20.715,19.507,18.711,18.323,18.065,0.142,0.019,0.017,0.019,0.049
3325,41,3,58,11,6,352.496091,-0.223207,17.96,16.608,16.111,15.957,15.886,0.016,4.094E-3,3.905E-3,4.006E-3,7.44E-3
3325,41,3,57,193,3,352.470886,-0.222422,17.152,19.018,29.92,20.948,18.52,0.189,0.386,0.945,5.737,2.478
2662,40,3,232,95,6,352.397153,-0.013054,22.152,19.168,17.869,17.356,17.003,0.219,0.01,6.822E-3,7.056E-3,0.012
2662,40,3,231,239,3,352.370673,-0.120095,20.868,19.781,19.01,18.558,18.329,0.12,0.026,0.022,0.02,0.05
3325,41,3,58,122,6,352.552985,-0.217374,20.807,19.583,19.026,18.807,18.807,0.11,0.016,0.014,0.016,0.048
3325,41,4,57,188,3,352.446431,0.026787,20.862,19.888,19.323,18.985,18.974,0.207,0.029,0.026,0.031,0.132
2662,40,3,231,116,3,352.368859,-0.116004,17.264,18.778,14.335,17.371,14.01,9.296E-3,8.298E-3,9.164E-3,0.015,4.521E-3
2662,40,3,233,95,6,352.619055,-0.157649,17.052,15.667,15.192,15.029,14.954,8.489E-3,3.709E-3,4.964E-3,5.249E-3,5.368E-3
3325,41,3,57,58,6,352.432971,-0.211357,17.818,15.865,15.089,14.777,14.601,0.014,3.515E-3,3.586E-3,3.296E-3,4.693E-3
2662,40,3,233,226,6,352.631477,-0.133301,19.841,18.971,18.538,18.429,18.292,0.043,9.397E-3,8.796E-3,0.01,0.028
2662,40,3,233,203,6,352.617428,-0.023693,21.05,18.644,17.215,16.462,16.001,0.105,7.987E-3,5.895E-3,5.791E-3,7.397E-3
2662,40,3,233,76,6,352.587736,-0.200866,17.393,15.888,15.308,15.109,14.997,9.994E-3,3.82E-3,4.979E-3,5.167E-3,5.376E-3
3325,41,3,58,13,6,352.496624,-0.234025,18.634,17.633,17.195,17.037,16.957,0.024,5.673E-3,5.313E-3,5.739E-3,0.013
2662,40,3,233,197,6,352.616738,-0.171763,19.596,18.127,17.556,17.359,17.234,0.036,6.35E-3,6.4E-3,6.812E-3,0.014
2662,40,3,233,207,6,352.617487,-0.019523,19.896,18.873,18.465,18.346,18.26,0.044,8.817E-3,8.529E-3,9.598E-3,0.026
2662,40,3,231,235,6,352.365161,-0.0633,20.295,17.569,16.148,15.39,14.932,0.051,5.296E-3,4.911E-3,5.466E-3,5.267E-3
2662,40,3,232,29,6,352.40393,-0.195575,19.183,17.625,17,16.727,16.576,0.026,5.431E-3,5.555E-3,6.074E-3,9.691E-3
3325,41,3,57,119,6,352.422313,-0.210673,19.804,17.156,15.781,15.011,14.593,0.05,4.766E-3,3.822E-3,3.372E-3,4.722E-3
3325,41,4,58,58,6,352.590851,0.011698,15.32,14.023,13.476,13.358,13.192,4.964E-3,3.477E-3,5.77E-3,2.155E-3,4.173E-3
2662,40,3,233,225,3,352.636125,-0.137188,17.041,15.518,14.8,14.384,14.067,0.023,3.33E-3,2.896E-3,2.948E-3,6.658E-3
3325,41,4,57,93,6,352.40207,7.04215E-3,20.044,18.649,18.084,17.877,17.798,0.064,8.868E-3,7.673E-3,8.766E-3,0.026
3325,41,4,57,122,6,352.465439,0.043225,19.689,18.078,17.376,17.119,16.993,0.05,6.672E-3,5.657E-3,5.939E-3,0.015
3325,41,4,58,59,6,352.595612,0.013297,17.541,16.398,15.888,15.7,15.666,0.013,3.803E-3,3.563E-3,3.978E-3,6.845E-3
3325,41,3,57,141,6,352.475919,-0.23978,19.424,18.394,18.029,17.903,17.842,0.039,8.144E-3,7.545E-3,8.978E-3,0.024
2662,40,3,232,4,6,352.385193,-0.185604,17.078,15.533,14.974,14.804,14.709,8.785E-3,3.719E-3,4.702E-3,5.421E-3,5.195E-3
2662,40,3,233,265,6,352.64388,-0.130541,21.007,18.697,17.665,17.29,17.103,0.103,8.327E-3,6.621E-3,6.769E-3,0.013
2662,40,3,233,261,6,352.64088,-0.048039,20.846,19.907,19.556,19.468,19.348,0.091,0.016,0.015,0.018,0.063
2662,40,3,231,110,6,352.352961,-0.099847,18.89,17.408,16.808,16.605,16.458,0.021,5.053E-3,5.347E-3,6.01E-3,9.314E-3
2662,40,3,233,260,6,352.640508,-0.046469,20.27,17.807,16.507,15.95,15.594,0.058,5.756E-3,5.314E-3,5.502E-3,6.411E-3
3325,41,4,58,143,6,352.604791,0.010748,21.469,18.981,17.638,17.072,16.802,0.212,0.01,6.276E-3,5.82E-3,0.013
3325,41,4,57,86,3,352.388924,4.855996E-3,21.566,19.755,18.684,18.21,17.877,0.378,0.026,0.015,0.016,0.048
3325,41,4,58,2,6,352.493825,0.055022,17.989,16.712,16.164,15.979,15.877,0.018,4.14E-3,3.977E-3,3.992E-3,7.733E-3
3325,41,4,58,203,3,352.600493,0.017979,19.887,18.494,17.526,17.093,16.853,0.147,0.015,0.011,0.011,0.035
3325,41,4,58,131,6,352.591547,0.025487,21.085,18.824,17.824,17.419,17.243,0.152,9.528E-3,6.868E-3,6.838E-3,0.017
3325,41,4,58,105,6,352.535956,0.051658,19.555,18.491,18.078,17.971,17.866,0.045,8.028E-3,7.802E-3,8.956E-3,0.027
2662,40,3,231,230,6,352.355665,-0.049647,22.116,19.743,18.218,17.221,16.776,0.206,0.015,7.78E-3,6.439E-3,0.011
2662,40,3,233,220,6,352.628107,-0.011615,20.245,17.559,16.122,15.354,14.894,0.057,5.323E-3,5.129E-3,5.31E-3,5.424E-3
3325,41,3,57,136,6,352.459726,-0.24283,20.043,19.074,18.752,18.645,18.636,0.061,0.011,0.011,0.015,0.043
2662,40,3,233,100,6,352.628601,-0.17981,17.267,15.928,15.47,15.272,15.196,9.518E-3,3.834E-3,4.973E-3,5.208E-3,5.741E-3
3325,41,4,57,85,6,352.387015,7.534979E-3,20.348,17.792,16.557,16.065,15.782,0.082,5.813E-3,4.364E-3,4.019E-3,7.284E-3
2662,40,3,233,274,6,352.652434,-0.121145,19.889,18.196,17.52,17.274,17.32,0.045,9.335E-3,0.011,0.012,0.019
2662,40,3,233,114,6,352.654854,-0.100559,18.704,17.013,16.316,16.041,15.885,0.021,4.688E-3,5.306E-3,5.448E-3,7.227E-3
2662,40,3,231,108,6,352.345967,-0.107604,17.986,16.177,15.503,15.34,15.175,0.016,6.639E-3,8.789E-3,0.01,8.569E-3
2662,40,3,231,220,6,352.344935,-0.085149,20.272,19.005,18.413,18.214,18.074,0.05,9.547E-3,8.486E-3,9.147E-3,0.025
2662,40,3,233,108,6,352.645748,-0.035691,18.807,17.118,16.415,16.115,15.998,0.022,4.844E-3,5.298E-3,5.544E-3,7.463E-3
2662,40,3,231,105,6,352.343402,-0.092128,16.002,14.618,13.912,13.861,13.648,6.723E-3,4.141E-3,3.777E-3,1.093E-3,4.854E-3
3325,41,3,58,33,6,352.550826,-0.245086,18.359,16.822,16.261,16.079,16.006,0.02,4.337E-3,3.979E-3,4.272E-3,7.813E-3
2662,40,3,233,102,6,352.637522,-0.013335,17.337,15.316,14.392,14.527,14.116,9.891E-3,3.806E-3,8.515E-3,4.3E-3,4.847E-3
